127.0.0.1 - - [05/Apr/2024:09:38:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:38:17 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:38:17 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:38:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:38:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:39:18 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:24 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:25 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:26 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:26 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:26 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:27 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:27 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:09:40:27 +0900] "GET /ch02_HTML/ch20_JSArray/s04_sort.html HTTP/1.1" 304 -
